Address,Price,Area,Rooms,Expenses_per_sqm,Age of Building,Floor,Floor_Category,District,District_Floor,Elevator,Balcony,Patio,Fireplace,Subway Station,Grocery Store,Gym,Bakery,Latitude,Longitude
Vattenledningsvägen 45,2725000,38.0,1.5,92.73684210526316,85.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,150,188,560,237,59.3026619,18.0099123
Valborgsmässovägen 20B,4295000,64.0,2.0,72.2716836734694,6.0,3.0,Lo,LM-Staden,LM-Staden-Lo,1,0,0,0,299,201,260,194,59.3004475,17.9999159
Bäckvägen 83,3050000,44.0,2.0,85.51746119733924,81.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,463,372,271,252,59.30203089999999,17.9937635
Tellusborgsvägen 90,2695000,39.0,2.0,73.57328186007432,12.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,294,251,77,56,59.29883299999999,18.0020192
Övre Bergsvägen 12,4460000,65.0,2.0,66.49305816135085,114.0,1.0,Lo,Gamla Midsommarkransen,Gamla Midsommarkransen-Lo,0,0,0,0,59,92,538,133,59.30176329999999,18.0109975
Tellusborgsvägen 77,3000000,44.0,2.0,63.68181818181818,,1.0,Lo,Telefonplan,Telefonplan-Lo,1,0,1,0,302,154,126,81,59.29792959999999,18.0022636
Tellusborgsvägen 42,6800000,107.0,4.0,59.55140186915888,1.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,349,368,579,436,59.3037397,18.0071393
Pingstvägen 20,3395000,51.0,2.0,82.98039215686275,84.0,2.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,462,223,410,276,59.30211209999999,17.9997734
Lm Ericssons väg 24,2850000,34.0,1.5,50.411764705882355,2.0,3.0,Lo,Telefonplan,Telefonplan-Lo,0,0,0,0,162,112,178,139,59.29927939999999,17.995053
Cedergrensvägen 18,2675000,35.0,1.0,91.6,84.0,3.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,442,185,414,361,59.30247250000001,18.0012642
Johannesbergsgatan 4,2495000,32.0,1.0,101.0,88.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,162,160,477,152,59.30046919999999,18.0111549
Responsgatan 14,2500000,34.0,1.0,73.19036141999368,5.0,4.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,384,84,69,214,59.29665749999999,18.0030007
Mobilgatan 1B,3795000,55.5,2.0,76.10810810810811,2.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,490,328,319,236,59.29754430000001,17.988501
Filvägen 11,2920000,50.0,2.0,68.48,79.0,2.0,Lo,Hökmossen,Hökmossen-Lo,0,1,0,0,413,434,493,493,59.29467020000001,17.9949109
Radiusbacken 23,7500000,87.0,4.0,64.52660998267989,81.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,489,278,120,106,59.29893010000001,18.0054637
Telefonvägen 7,3650000,68.0,2.0,96.30882352941177,31.0,4.0,Mid,Midsommarkransen,Midsommarkransen-Mid,1,1,0,0,432,77,169,108,59.300436,18.0032084
Valsbergs gränd 4,2980000,40.0,2.0,80.24626865671641,80.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,150,170,442,190,59.3010302,18.0099272
Svandammsvägen 8,4000000,48.0,2.0,48.520833333333336,95.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,155,125,733,112,59.3019785,18.014739
Tegelbruksvägen 8C,3200000,32.0,2.0,52.262499999999996,88.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,194,179,786,189,59.30281830000001,18.0148654
Valborgsmässovägen 4,3250000,51.0,2.0,84.01960784313725,85.0,3.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,400,95,249,212,59.3009532,18.0015404
Tellusborgsvägen 90,2625000,35.0,1.0,73.57328186007432,12.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,294,251,77,56,59.29883299999999,18.0020192
Vattenledningsvägen 85,3350000,43.0,2.0,74.37209302325581,81.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,366,210,229,151,59.3002437,18.0064252
Tvingvägen 26,2400000,36.0,2.0,63.20833333333333,82.0,1.0,Lo,Hökmossen,Hökmossen-Lo,0,0,0,0,490,329,304,573,59.29390290000001,17.9987056
Tångvägen 20,2550000,42.5,2.0,78.5529411764706,80.0,1.0,Lo,Hökmossen,Hökmossen-Lo,0,0,0,0,510,455,461,618,59.2936676,17.9959546
Valborgsmässovägen 25,3600000,51.0,2.0,84.01960784313725,86.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,148,104,283,153,59.2993109,17.998456
Responsgatan 18,2820000,46.0,2.0,70.94350007121747,5.0,5.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,412,146,2,175,59.29709949999999,18.0038945
Svandammsvägen 31B,4350000,58.0,2.0,90.75862068965517,87.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,0,0,176,199,417,222,59.301071,18.0093436
Snickerigatan 9,5840000,72.0,3.5,68.55555555555556,9.0,6.0,Hi,Telefonplan,Telefonplan-Hi,1,1,0,0,465,409,200,165,59.2989238,17.9889589
Responsgatan 14,2700000,46.0,2.0,73.19036141999368,,3.0,Lo,Telefonplan,Telefonplan-Lo,0,1,0,0,384,84,69,214,59.29665749999999,18.0030007
Hökmossevägen 68,2750000,62.0,3.5,78.7741935483871,,2.0,Lo,Hökmossen,Hökmossen-Lo,0,0,0,0,790,806,488,965,59.29032709999999,17.9883463
Radiusbacken 21,3375000,42.0,2.0,64.38095238095238,,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,0,0,473,280,106,103,59.2988457,18.0052136
Valborgsmässovägen 36,2775000,34.5,2.0,95.44927536231884,84.0,2.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,165,113,294,132,59.29953039999999,17.9983399
Kransbindarvägen 21,2750000,35.0,1.0,87.29019607843136,84.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,440,216,431,336,59.3025017,18.0004954
Flygelgatan 4,4095000,62.5,3.0,73.07405064842642,12.0,1.0,Lo,Telefonplan,Telefonplan-Lo,1,0,1,0,258,191,125,83,59.29830860000001,18.0015267
Pingstvägen 54,2900000,35.0,2.0,91.6,84.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,359,286,274,131,59.30136959999999,17.9957039
Responsgatan 12,2750000,45.0,2.0,68.34034290044521,5.0,4.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,380,69,96,237,59.29645899999999,18.0027115
Hökmossevägen 14,2900000,53.5,3.0,79.53271028037383,80.0,3.0,Lo,Hökmossen,Hökmossen-Lo,0,1,0,0,619,470,454,732,59.29266969999999,17.9964207
Fastlagsvägen 40,6125000,79.0,3.0,52.53815725413827,32.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,446,207,377,400,59.303802,17.9952748
Vattenledningsvägen 73,4550000,57.0,2.0,54.390350877192986,81.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,369,164,249,164,59.3007185,18.0059464
Responsgatan 18,2830000,46.0,2.0,70.94350007121747,,5.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,412,146,2,175,59.29709949999999,18.0038945
Tellusborgsvägen 94,2760000,47.0,2.0,68.32275724772926,9.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,299,209,84,40,59.29843750000001,18.0022255
Tellusborgsvägen 47A,9525000,106.0,4.0,63.009433962264154,114.0,1.0,Lo,Gamla Midsommarkransen,Gamla Midsommarkransen-Lo,0,0,0,1,304,279,470,385,59.30271709999999,18.0069632
Kransbindarvägen 13,2800000,35.0,2.0,91.6,,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,483,150,373,322,59.3021006,18.0013549
Svandammsvägen 10,2860000,39.0,2.0,73.85862785862786,88.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,125,93,701,82,59.30188119999999,18.0142112
Tellusborgsvägen 75,4400000,62.0,2.0,63.67222530448337,13.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,311,176,104,58,59.29810490000001,18.0024547
Tellusborgsvägen 78A,3550000,42.0,2.0,59.19047619047619,80.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,441,128,128,53,59.3000397,18.0038741
Cedergrensvägen 61,3400000,51.0,2.0,84.01960784313725,,2.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,228,157,218,43,59.3001697,17.9958098
